year,critical_industry,size,digital,sector,country,policy,no_encryption,detected_by,paid,type,size_bin,id,capitalization,internet_sales,internet_sales_share,ransom,pay
2012,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,No,Organisation,No,Computer stolen,0,597,144,125,30.71,6.86,Refuse
2015,Yes,Medium,High,Finance and insurance,USA,Yes,No,Organisation,No,Computers stolen,1,598,281,126,30.92,9.4,Refuse
2012,Yes,Small,Medium-High,Public administration and defence,USA,Yes,Yes,Organisation,No,Computers stolen,0,599,66,60,14.66,3.18,Refuse
2018,Yes,Medium,High,Finance and insurance,USA,Yes,,Organisation,No,Unauthorised access but unknown,1,600,169,198,48.47,12.34,Refuse
2018,Yes,Large,Low,Transportation storage,USA,,,Organisation,No,Email compromised,2,601,297,244,59.64,17.67,Refuse
2019,Yes,Small,Low,Transportation storage,USA,Yes,Yes,Organisation,No,Ransomware,0,602,84,112,27.43,7.95,Refuse
2016,Yes,Small,High,IT and other information services,USA,Yes,Yes,Organisation,No,Phishing attack,0,603,98,110,26.9,6.01,Refuse
2017,Yes,Small,Low,Accommodation and food service activities,USA,Yes,,Organisation,No,Unauthorised access but unknown,0,604,58,106,25.92,5.26,Refuse
2018,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,,Organisation,No,Unknown attack,1,605,194,95,23.34,10.36,Refuse
2017,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Ransomware,2,606,286,342,83.74,22.92,Refuse
2012,No,Medium,Medium-High,"Arts, entertainment and recreation",USA,Yes,,Organisation,No,Hacker breaches systems,1,607,232,121,29.56,11.34,Refuse
2014,No,Large,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Malware installed,2,608,308,273,66.73,18.85,Pay
2015,No,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,External attack,0,609,91,102,25.01,4.49,Refuse
2006,Yes,Medium,High,Finance and insurance,USA,Yes,No,Organisation,No,Attackers directed users to fake websites to obtain data,1,610,210,132,32.42,9.96,Refuse
2013,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,1,611,194,157,38.44,11.21,Refuse
2016,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Ransomware,2,612,256,264,64.58,17.04,Refuse
2016,Yes,Large,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Exploited a vendor's vulnerability,2,613,327,303,74.15,21.91,Pay
2019,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Dominon National was hacked,0,614,79,149,36.5,10.32,Refuse
2013,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,0,615,36,110,26.93,5.01,Refuse
2014,Yes,Small,Low-Medium,Pharmaceutical products,USA,Yes,No,Organisation,No,Laptop stolen,0,616,91,142,34.78,10.25,Refuse
2008,No,Small,Low,Construction,USA,Yes,,Organisation,No,Computer backup tapes stolen,0,617,84,114,27.8,6.14,Refuse
2018,Yes,Small,High,Finance and insurance,India,Yes,,Federal Agency,No,Unknown,0,618,134,115,28.07,8.63,Refuse
2011,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Server hacked,0,619,82,84,20.52,4.35,Refuse
2017,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Ransomware,1,620,161,136,33.25,11.34,Refuse
2016,Yes,Small,High,Finance and insurance,Qatar,Yes,Yes,Organisation,No,Unknown,0,621,117,181,44.25,12.44,Refuse
2013,No,Medium,Medium-High,"Publishing, audiovisual and broadcasting",USA,Yes,Yes,Organisation,No,Malware installed on PoS,1,622,192,167,41.01,11.57,Refuse
2016,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unknown,0,623,104,98,24.05,6.42,Refuse
2019,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,AMCA vulnerability,0,624,63,85,20.83,4.66,Refuse
2017,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Phishing attack,2,625,284,340,83.16,24.51,Refuse
2018,No,Small,Medium-High,"Arts, entertainment and recreation",Global,Yes,Yes,Organisation,No,Unknown,0,626,111,111,27.3,5.31,Refuse
2013,Yes,Large,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Vendor vulnerability on website hosting R.T. Jones,2,627,270,336,82.16,22.04,Refuse
2013,Yes,Small,Low,"Food products, beverages and tobacco",USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,628,97,112,27.49,8.08,Refuse
2018,Yes,Small,Low-Medium,Pharmaceutical products,USA,Yes,Yes,Organisation,No,Physical device stolen without encryption,0,629,105,122,29.8,7.49,Refuse
2017,Yes,Medium,Medium-High,"Computer, electronic and optical products",USA,Yes,Yes,Organisation,No,Malware installed,1,630,194,163,39.81,11.36,Refuse
2008,Yes,Small,High,Finance and insurance,USA,Yes,,Organisation,No,Unknown,0,631,120,73,17.77,5.32,Refuse
2017,Yes,Medium,Low,Transportation storage,USA,Yes,Yes,Organisation,No,Suspicious activity within network,1,632,198,170,41.72,12.1,Refuse
2018,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,No,Organisation,No,Unauthorised access,0,633,103,96,23.48,6.5,Refuse
2014,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Malware installed,2,634,287,228,55.93,20.37,Refuse
2014,No,Medium,Low,Construction,USA,Yes,Yes,Organisation,No,Malware installed on website,1,635,248,194,47.62,14.37,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Phishing attack,0,636,148,147,36.05,8.01,Refuse
2018,No,Medium,Low-Medium,Residential care and social work activities,USA,Yes,Yes,Organisation,No,Phishing attack,1,637,186,107,26.26,11.49,Refuse
2013,No,Small,High,Advertising and other business services,USA,Yes,Yes,Organisation,No,Computers stolen,0,638,103,86,20.94,7.25,Refuse
2013,Yes,Small,Low,"Water supply, sewerage and waste",USA,Yes,Yes,Organisation,No,Computer stolen,0,639,62,89,21.87,2.62,Refuse
2011,Yes,Small,Low,"Food products, beverages and tobacco",USA,Yes,,Organisation,No,Unauthorised access but unknown,0,640,122,118,28.97,8.47,Refuse
2013,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Computer stolen,1,641,153,179,43.85,13.33,Refuse
2013,No,Small,Low-Medium,Residential care and social work activities,USA,Yes,Yes,Organisation,No,Laptop stolen,0,642,63,82,20.03,3.18,Refuse
2017,Yes,Small,Low-Medium,Pharmaceutical products,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,643,42,134,32.82,8,Refuse
2018,Yes,Small,Low,Transportation storage,USA,Yes,Yes,Organisation,No,Phishing attack,0,644,76,113,27.59,8.75,Refuse
2015,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Computer stolen,2,645,375,246,60.24,18.49,Pay
2017,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,Yes,Organisation,No,Code installed on website,0,646,78,103,25.14,5.54,Refuse
2018,Yes,Large,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Email compromised,2,647,230,232,56.77,17.77,Refuse
2017,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,0,648,82,52,12.79,4.81,Refuse
2009,Yes,Medium,High,IT and other information services,USA,Yes,Yes,Organisation,No,Unknown,1,649,215,142,34.78,9.51,Refuse
2017,Yes,Medium,Low-Medium,Pharmaceutical products,USA,Yes,Yes,Organisation,No,Email account hacked,1,650,197,126,30.83,7.84,Refuse
2015,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,Yes,Organisation,No,Unknown,0,651,148,90,21.94,4.51,Refuse
2019,Yes,Small,Low-Medium,Human health activities,USA,No,Yes,Organisation,No,Phishing attack,0,652,149,161,39.43,11.27,Refuse
2016,No,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Organisation,No,Malware installed,0,653,122,91,22.39,3.26,Refuse
2017,No,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Organisation,No,Vendor was hacked,0,654,62,120,29.29,6.84,Refuse
2006,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Unknown,0,655,101,72,17.69,6.54,Refuse
2014,Yes,Small,Low-Medium,Coke and refined petroleum products,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,656,115,52,12.8,2.13,Refuse
2013,Yes,Large,Low,Accommodation and food service activities,USA,Yes,Yes,Organisation,No,Malware installed,2,657,286,240,58.75,17.57,Refuse
2011,No,Small,High,Scientific research and development,USA,Yes,Yes,Organisation,No,Remote Access Trojan installed,0,658,96,121,29.7,4.9,Refuse
2017,Yes,Small,High,IT and other information services,USA,Yes,Yes,Organisation,No,Unknown,0,659,105,143,35.13,9.22,Refuse
2015,Yes,Small,High,IT and other information services,USA,Yes,Yes,Organisation,No,Servers managed by third party hacked,0,660,72,54,13.14,5.19,Refuse
2015,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Phishing attack,0,661,61,125,30.7,6.21,Refuse
2006,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,662,142,110,26.92,6.82,Refuse
2016,Yes,Small,High,IT and other information services,UK,Yes,Yes,Organisation,No,Unauthorised attack using login credentials,0,663,108,89,21.8,7.83,Refuse
2015,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Phishing attack,0,664,88,152,37.34,6.57,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Ransomware,0,665,110,70,17.1,5,Refuse
2008,Yes,Medium,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unauthorised access but unknown,1,666,194,97,23.68,11.05,Refuse
2018,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Unknown,0,667,162,96,23.62,8.78,Refuse
2013,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Virus installed,0,668,111,120,29.4,9.27,Refuse
2017,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Ransomware,1,669,219,125,30.49,10.62,Refuse
2013,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Credit card/bank,No,Unknown,0,670,142,68,16.53,4.15,Refuse
2014,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Credit card/bank,No,Unauthorised access but unknown,0,671,141,133,32.61,10.07,Refuse
2016,No,Small,Low-Medium,"Textiles, wearing apparel and leather",USA,Yes,Yes,Organisation,No,Malware installed,0,672,88,97,23.65,6.51,Refuse
2016,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,673,123,137,33.52,8.18,Refuse
2014,No,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Organisation,No,"Unknown hack causing hard drives to be wiped, etc",0,674,80,99,24.31,5.85,Refuse
2013,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen with no encryption,0,675,56,78,19.09,5.06,Refuse
2016,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,676,64,60,14.64,3.83,Refuse
2018,Yes,Small,Medium-High,"Computer, electronic and optical products",USA,Yes,Yes,Organisation,No,Laptop stolen,0,677,96,59,14.4,3.36,Refuse
2013,Yes,Small,Low,"Food products, beverages and tobacco",USA,Yes,Yes,Organisation,No,Unknown,0,678,154,96,23.39,4.6,Refuse
2017,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Phishing attack,0,679,103,40,9.75,3.19,Refuse
2015,Yes,Small,High,Finance and insurance,USA,Yes,,Federal Agency,No,Unknown,0,680,76,53,13.03,4.79,Refuse
2005,Yes,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Third party hacked - compromising their server.,0,681,107,159,38.9,10.17,Refuse
2018,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,,Organisation,No,Unauthorised access but unknown,1,682,113,141,34.53,10.21,Refuse
2013,Yes,Medium,High,IT and other information services,USA,Yes,Yes,Organisation,No,Unknown,1,683,183,92,22.48,9.27,Refuse
2010,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,684,121,95,23.18,3.51,Refuse
2016,Yes,Small,High,IT and other information services,USA,Yes,,Organisation,No,Phishing attack,0,685,61,141,34.46,5.25,Refuse
2017,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,686,68,149,36.6,6.8,Refuse
2006,No,Medium,Medium-High,"Arts, entertainment and recreation",USA,Yes,No,Organisation,No,Website was compromised giving access to data and slowing down servers.,1,687,195,139,34.08,12.71,Refuse
2011,No,Small,Medium-High,"Arts, entertainment and recreation",Japan,Yes,,Organisation,No,Unknown,0,688,42,104,25.36,7.1,Refuse
2016,Yes,Large,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unknown,2,689,304,273,66.74,19.03,Pay
2007,Yes,Small,Medium-High,"Computer, electronic and optical products",USA,Yes,Yes,Organisation,No,Laptop stolen from third party vendor,0,690,62,100,24.51,7.33,Refuse
2013,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,0,691,73,106,25.93,7.56,Refuse
2006,No,Medium,High,Finance and insurance,USA,Yes,Yes,Federal Agency,No,Employee accessed data,1,692,218,165,40.48,10.55,Refuse
2016,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Ransomware,2,693,278,226,55.34,17.61,Refuse
2016,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Phishing attack,0,694,91,120,29.48,5.51,Refuse
2012,Yes,Small,High,Finance and insurance,USA,Yes,,Organisation,No,Unknown,0,695,142,124,30.37,7.64,Refuse
2013,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unknown,1,696,192,111,27.19,8.59,Refuse
2015,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unknown,0,697,127,40,9.68,4.2,Refuse
2007,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Phishing attack,0,698,108,101,24.83,7.12,Refuse
2013,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Theft of unencrypted computer,0,699,83,118,28.99,5.05,Refuse
2014,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Device stolen,0,700,99,95,23.24,7.64,Refuse
2011,Yes,Medium,High,Finance and insurance,USA,Yes,No,Organisation,No,Laptop stolen,1,701,170,150,36.69,10.9,Refuse
2015,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Equipment stolen,2,702,284,192,46.95,15.75,Refuse
2017,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Computer and external storage stolen,1,703,211,110,26.85,8.2,Refuse
2018,No,Small,Low-Medium,"Textiles, wearing apparel and leather",USA,Yes,,Organisation,No,Malware installed,0,704,116,107,26.14,7.21,Refuse
2017,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Ransomware,2,705,315,238,58.29,20.07,Pay
2018,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Malware installed,1,706,201,148,36.35,9.73,Refuse
2018,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,1,707,203,177,43.3,13.35,Refuse
2014,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,,Organisation,No,Unknown attack on website,0,708,85,127,31.04,9.17,Refuse
2018,Yes,Small,Low,"Food products, beverages and tobacco",USA,Yes,Yes,Organisation,No,Malicious code inserted into website,0,709,132,96,23.4,3.89,Refuse
2017,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,PoS data accessed,1,710,235,85,20.72,6.91,Refuse
2010,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unencrypted server stolen,1,711,184,219,53.67,13.96,Refuse
2017,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Phishing attack,0,712,133,146,35.78,6.3,Refuse
2018,Yes,Small,Low-Medium,Human health activities,Singapore,Yes,Yes,Organisation,No,Unknown,0,713,65,114,27.81,5.09,Refuse
2019,Yes,Small,Medium-High,Public administration and defence,Singapore,Yes,Yes,,No,Individual gained access through doctor,0,714,78,52,12.76,4.84,Refuse
2016,Yes,Large,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unauthorised access but unknown,2,715,309,322,78.97,21.65,Pay
2014,Yes,Small,High,IT and other information services,USA,Yes,,Organisation,No,Phishing attack,0,716,136,94,23.11,4.53,Refuse
2015,No,Small,High,Administrative and support service,USA,Yes,,Organisation,No,Unknown,0,717,49,117,28.66,6.24,Refuse
2017,Yes,Small,Low,"Agriculture, forestry and fishing",USA,Yes,,Organisation,No,Unknown,0,718,113,105,25.68,6.36,Refuse
2013,Yes,Small,High,IT and other information services,Global,Yes,,Organisation,No,Used a known flaw to access data,0,719,107,59,14.41,1.62,Refuse
2005,No,Small,Low-Medium,Education,USA,,Yes,Organisation,No,Seven campus workstations were hacked,0,720,196,43,10.65,3.79,Refuse
2011,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,721,18,98,23.99,7.34,Refuse
2011,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,722,75,121,29.53,6.71,Refuse
2014,No,Small,Medium-High,"Arts, entertainment and recreation",Global,Yes,Yes,Public,No,Malware installed,0,723,120,79,19.29,5.97,Refuse
2014,Yes,Small,Medium-High,"Computer, electronic and optical products",USA,Yes,Yes,Organisation,No,Payroll vendor was attacked,0,724,150,111,27.26,7.71,Refuse
2012,Yes,Small,Medium-High,Public administration and defence,USA,Yes,,Organisation,No,Unknown attack taking advantage of vulnerabilities within the system,0,725,125,117,28.75,4.63,Refuse
2016,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Employee accounts accessed,0,726,57,129,31.65,5.78,Refuse
2017,Yes,Medium,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Medical device stolen,1,727,163,115,28.15,7.66,Refuse
2010,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,No,Organisation,No,Employees used customer data to undertake identity theft,1,728,162,178,43.64,10.64,Refuse
2013,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,,Organisation,No,Malware installed,0,729,167,118,28.8,8.15,Refuse
2017,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,2,730,273,343,83.9,22.1,Refuse
2014,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Server was attacked,0,731,47,107,26.29,3.28,Refuse
2016,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Thumb drive stolen,0,732,67,53,12.98,4.77,Refuse
2013,Yes,Medium,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Malware installed,1,733,169,212,52,13.17,Refuse
2016,Yes,Large,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unauthorised access but unknown,2,734,323,230,56.28,20.11,Pay
2012,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Computer stolen,0,735,99,85,20.75,5.1,Refuse
2008,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Laptop stolen,0,736,167,126,30.79,9.59,Refuse
2014,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Credit card/bank,No,Malware installed,0,737,115,114,27.81,8.7,Refuse
2008,Yes,Small,Low,"Food products, beverages and tobacco",USA,Yes,Yes,Organisation,No,Laptop stolen,0,738,122,73,17.89,2.52,Refuse
2015,No,Small,Low,Accommodation and food service activities,USA,Yes,,Organisation,No,Malware installed on PoS,0,739,152,110,26.83,9.15,Refuse
2016,No,Small,High,Finance and insurance,USA,Yes,,Organisation,No,Employee accessed data and obtained funds,0,740,130,97,23.8,7.26,Refuse
2014,Yes,Small,Low-Medium,Chemicals and chemical products,USA,Yes,Yes,Federal Agency,No,Unknown,0,741,63,138,33.77,9.42,Refuse
2008,Yes,Small,High,Finance and insurance,USA,Yes,,Organisation,No,Disk was stolen from vendor,0,742,121,99,24.24,6.06,Refuse
2008,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Computer stolen,1,743,158,122,29.8,11.7,Refuse
2015,Yes,Small,Low,"Food products, beverages and tobacco",USA,Yes,,Organisation,No,Physical skimmer placed on PoS terminal,0,744,97,88,21.63,5.98,Refuse
2011,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,,Organisation,No,Unauthorised access but unknown,0,745,153,92,22.57,5.1,Refuse
2017,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,,Organisation,No,Service provided by vendor was hacked and code was added,0,746,93,74,18.04,4.62,Refuse
2018,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,2,747,307,291,71.34,23.2,Pay
2018,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,,Organisation,No,Website was compromised giving access to data.,1,748,199,130,31.77,10.44,Refuse
2011,No,Medium,High,Scientific research and development,USA,Yes,Yes,Federal Agency,No,Unknown,1,749,254,181,44.23,13.47,Refuse
2011,Yes,Small,Low,Accommodation and food service activities,USA,Yes,Yes,,No,Malware installed on PoS,0,750,54,139,33.98,6.1,Refuse
2015,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,1,751,197,125,30.72,12.44,Refuse
2015,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Physical device stolen,0,752,115,105,25.7,6.75,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Phishing attack,0,753,111,82,20.05,5.77,Refuse
2018,Yes,Small,High,Finance and insurance,USA,Yes,No,Organisation,No,Employee accessed data for third party,0,754,99,112,27.41,7.93,Refuse
2012,Yes,Medium,Low,"Agriculture, forestry and fishing",USA,Yes,Yes,Organisation,No,Laptop stolen but not encrypted,1,755,223,121,29.7,11.44,Refuse
2013,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Unknown,0,756,68,126,30.8,6.04,Refuse
2017,Yes,Large,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unauthorised access but unknown,2,757,327,244,59.63,19.95,Pay
2016,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Ransomware,2,758,247,244,59.73,18.6,Refuse
2014,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Computers stolen,0,759,75,87,21.39,6.49,Refuse
2011,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen but not encrypted,0,760,100,91,22.24,7.92,Refuse
2017,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,0,761,131,98,24.05,6.87,Refuse
2017,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Credit card/bank,No,Malware installed on PoS,0,762,89,40,9.78,2.58,Refuse
2015,No,Medium,Low-Medium,"Textiles, wearing apparel and leather",USA,Yes,,Public,No,Malware installed on PoS,1,763,167,197,48.34,12.47,Refuse
2016,Yes,Medium,Low-Medium,Human health activities,USA,Yes,,Public,No,Unknown access into email account resulting in unauthorised emails,1,764,193,203,49.7,14.06,Refuse
2018,Yes,Small,High,Telecommunications,USA,Yes,Yes,Organisation,No,Unknown,0,765,74,105,25.63,6.08,Refuse
2017,Yes,Small,Low-Medium,Chemicals and chemical products,USA,Yes,,Organisation,No,Social engineering directed towards employees,0,766,19,101,24.8,5.98,Refuse
2017,No,Medium,High,Advertising and other business services,USA,Yes,,Organisation,No,Access gained to employee accounts,1,767,217,143,35.06,13.67,Refuse
2015,Yes,Small,High,Telecommunications,USA,Yes,,Organisation,No,Unknown,0,768,115,92,22.56,4.79,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Vendor suffered a cyber attack,0,769,113,69,16.98,2.73,Refuse
2017,Yes,Large,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unknown,2,770,269,216,52.96,17.13,Refuse
2013,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,"Through vendor access, PoS target",0,771,139,132,32.31,8.82,Refuse
2018,Yes,Medium,Low,"Food products, beverages and tobacco",USA,Yes,Yes,Public,No,Unauthorised access but unknown,1,772,189,218,53.49,13.29,Refuse
2016,No,Medium,High,Legal and accounting activities,USA,Yes,,Organisation,No,Used username and password combinations to access data,1,773,224,207,50.71,15.19,Refuse
2016,No,Medium,High,Legal and accounting activities,USA,Yes,,Organisation,No,Credentials from third party vendor were used to access data,1,774,221,148,36.22,10.81,Refuse
2016,Yes,Small,High,Finance and insurance,USA,Yes,,Organisation,No,Unknown attack resulting in spam being sent to customers,0,775,144,86,21.12,7.38,Refuse
2017,Yes,Medium,High,IT and other information services,USA,Yes,,Organisation,No,Unknown,1,776,181,126,30.75,12.06,Refuse
2018,Yes,Medium,Medium-High,Machine equipment,USA,,Yes,Organisation,No,Malware installed on website,1,777,177,130,31.78,7.68,Refuse
2019,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Ransomware,0,778,96,104,25.48,7.1,Refuse
2016,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,,Organisation,No,Malware installed on PoS,0,779,139,163,40.01,7.41,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Suspicious activity within network,0,780,100,82,20.14,4.08,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Phishing attack,0,781,80,80,19.57,4.97,Refuse
2014,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,0,782,75,105,25.62,3.88,Refuse
2013,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Laptop stolen,0,783,90,91,22.39,3.76,Refuse
2018,Yes,Medium,Low,"Food products, beverages and tobacco",USA,Yes,,Organisation,No,Vendor's extension was hacked affecting websites,1,784,271,192,47.03,12.81,Refuse
2014,No,Small,Medium-High,"Wholesale, retail trade and repair",USA/Canada,Yes,Yes,Credit card/bank,No,Malware installed,0,785,107,85,20.87,4.41,Refuse
2017,Yes,Medium,Low,"Food products, beverages and tobacco",USA,Yes,,Organisation,No,Unauthorised access but unknown,1,786,194,166,40.7,11.91,Refuse
2014,No,Medium,Low,Accommodation and food service activities,USA,Yes,Yes,Organisation,No,Malicious software,1,787,200,169,41.45,13.55,Refuse
2018,Yes,Large,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Ransomware,2,788,292,171,41.89,15.08,Refuse
2017,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Attack targeting email system,0,789,99,112,27.5,6.43,Refuse
2017,No,Large,Low-Medium,Education,USA,Yes,,Organisation,No,Attack involving email account,2,790,338,340,83.28,24.84,Pay
2007,No,Small,Low-Medium,Residential care and social work activities,USA,,,Organisation,No,Unknown,0,791,106,107,26.17,4.88,Refuse
2016,Yes,Medium,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unauthorised accessed to email,1,792,198,150,36.64,9.39,Refuse
